[2025-10-08 21:21:16,990] [INFO] GET /static/logo.png -> 200
[2025-10-08 21:21:17,094] [INFO] GET /static/app.js -> 200
[2025-10-08 21:21:17,540] [INFO] GET /secciones -> 200
[2025-10-08 21:21:17,697] [INFO] GET /static/favicon.ico -> 404
[2025-10-08 21:21:58,301] [INFO] GET /comandos -> 200
[2025-10-08 21:22:02,729] [INFO] GET /comandos -> 200
[2025-10-08 21:22:05,686] [INFO] GET /comandos -> 200
[2025-10-08 21:22:06,798] [INFO] GET /comandos -> 200
[2025-10-08 21:22:07,694] [INFO] GET /comandos -> 200
[2025-10-08 21:22:08,876] [INFO] GET /comandos -> 200
[2025-10-08 21:22:10,332] [INFO] GET /comandos -> 200
[2025-10-08 21:22:11,292] [INFO] GET /comandos -> 200
[2025-10-08 21:22:12,085] [INFO] GET /comandos -> 200
[2025-10-08 21:22:12,635] [INFO] GET /comandos -> 200
[2025-10-08 21:22:13,065] [INFO] GET /comandos -> 200
[2025-10-08 21:22:43,818] [INFO] GET / -> 200
[2025-10-08 21:22:43,953] [INFO] GET /secciones -> 200
[2025-10-08 21:23:18,243] [INFO] GET / -> 200
[2025-10-08 21:23:18,373] [INFO] GET /secciones -> 200
[2025-10-08 21:23:39,390] [INFO] GET / -> 200
[2025-10-08 21:23:39,527] [INFO] GET /secciones -> 200
[2025-10-08 21:23:43,038] [INFO] GET / -> 200
[2025-10-08 21:23:43,178] [INFO] GET /secciones -> 200
[2025-10-08 21:24:03,672] [INFO] GET /static/favicon.ico -> 404
[2025-10-08 21:24:04,006] [INFO] GET /favicon.ico -> 404
[2025-10-08 21:25:51,772] [INFO] GET / -> 200
[2025-10-08 21:25:51,903] [INFO] GET /secciones -> 200
[2025-10-08 21:25:52,058] [INFO] GET /static/favicon.ico -> 404
[2025-10-08 21:25:52,713] [INFO] GET / -> 200
[2025-10-08 21:25:52,843] [INFO] GET /secciones -> 200
[2025-10-08 21:25:53,562] [INFO] GET / -> 200
[2025-10-08 21:25:53,688] [INFO] GET /secciones -> 200
[2025-10-08 21:26:34,119] [INFO] GET /static/favicon.ico -> 404
[2025-10-08 21:27:37,998] [INFO] GET / -> 200
[2025-10-08 21:27:38,128] [INFO] GET /secciones -> 200
[2025-10-08 21:27:38,868] [INFO] GET / -> 200
[2025-10-08 21:27:39,003] [INFO] GET /secciones -> 200
[2025-10-08 21:27:39,609] [INFO] GET / -> 200
[2025-10-08 21:27:39,736] [INFO] GET /secciones -> 200
[2025-10-08 21:27:39,920] [INFO] GET / -> 200
[2025-10-08 21:27:40,045] [INFO] GET /secciones -> 200
[2025-10-08 21:27:45,527] [INFO] GET /static/favicon.ico -> 404
[2025-10-08 21:28:29,119] [INFO] GET / -> 200
[2025-10-08 21:28:29,359] [INFO] GET /static/app.js -> 304
[2025-10-08 21:28:29,361] [INFO] GET /static/style.css -> 304
[2025-10-08 21:28:29,481] [INFO] GET /secciones -> 200
[2025-10-08 21:28:31,882] [INFO] GET / -> 200
[2025-10-08 21:28:32,012] [INFO] GET /secciones -> 200
[2025-10-08 21:28:47,872] [INFO] GET / -> 200
[2025-10-08 21:28:48,003] [INFO] GET /secciones -> 200
[2025-10-08 21:28:48,165] [INFO] GET /static/favicon.ico -> 404
[2025-10-08 21:28:48,781] [INFO] GET / -> 200
[2025-10-08 21:28:48,914] [INFO] GET /secciones -> 200
[2025-10-08 21:28:51,095] [INFO] GET /comandos -> 200
[2025-10-08 21:28:55,933] [INFO] GET / -> 200
[2025-10-08 21:28:56,065] [INFO] GET /secciones -> 200
[2025-10-08 21:30:08,566] [INFO] GET / -> 200
[2025-10-08 21:30:08,791] [INFO] GET /static/favicon.ico -> 404
[2025-10-08 21:30:38,928] [INFO] GET / -> 200
[2025-10-08 21:30:39,073] [INFO] GET /secciones -> 200
[2025-10-08 21:30:39,865] [INFO] GET / -> 200
[2025-10-08 21:30:39,993] [INFO] GET /secciones -> 200
[2025-10-08 21:30:40,241] [INFO] GET / -> 200
[2025-10-08 21:30:40,371] [INFO] GET /secciones -> 200
[2025-10-08 21:30:40,570] [INFO] GET / -> 200
[2025-10-08 21:30:40,697] [INFO] GET /secciones -> 200
[2025-10-08 21:30:40,889] [INFO] GET / -> 200
[2025-10-08 21:30:41,018] [INFO] GET /secciones -> 200
[2025-10-08 21:30:41,199] [INFO] GET / -> 200
[2025-10-08 21:30:41,323] [INFO] GET /secciones -> 200
[2025-10-08 21:31:21,851] [INFO] GET / -> 200
[2025-10-08 21:31:22,219] [INFO] GET /static/style.css -> 200
[2025-10-08 21:31:22,224] [INFO] GET /static/app.js -> 200
[2025-10-08 21:31:22,225] [INFO] GET /static/logo.png -> 200
[2025-10-08 21:31:23,808] [INFO] GET /static/favicon.ico -> 404
[2025-10-08 21:31:24,653] [INFO] GET / -> 200
[2025-10-08 21:31:24,879] [INFO] GET /static/favicon.ico -> 404
[2025-10-08 21:31:36,927] [INFO] GET / -> 200
[2025-10-08 21:31:37,160] [INFO] GET /static/style.css -> 200
[2025-10-08 21:31:37,167] [INFO] GET /static/logo.png -> 200
[2025-10-08 21:31:37,168] [INFO] GET /static/app.js -> 200
[2025-10-08 21:31:37,481] [INFO] GET / -> 200
[2025-10-08 21:31:37,785] [INFO] GET /static/favicon.ico -> 404
[2025-10-08 21:31:38,009] [INFO] GET / -> 200
[2025-10-08 21:31:38,009] [INFO] GET / -> 200
[2025-10-08 21:31:38,304] [INFO] GET /static/style.css -> 200
[2025-10-08 21:31:38,307] [INFO] GET /static/style.css -> 200
[2025-10-08 21:31:38,475] [INFO] GET /static/app.js -> 200
[2025-10-08 21:31:46,212] [INFO] GET / -> 200
[2025-10-08 21:31:53,412] [INFO] GET / -> 200
[2025-10-08 21:31:53,661] [INFO] GET /static/app.js -> 200
[2025-10-08 21:31:53,664] [INFO] GET /static/logo.png -> 200
[2025-10-08 21:31:53,682] [INFO] GET /static/style.css -> 200
[2025-10-08 21:31:54,063] [INFO] GET /static/app.js -> 200
[2025-10-08 21:31:54,218] [INFO] GET /static/favicon.ico -> 404
[2025-10-08 21:32:20,849] [INFO] GET / -> 200
[2025-10-08 21:32:20,985] [INFO] GET /secciones -> 200
[2025-10-08 21:32:21,758] [INFO] GET / -> 200
[2025-10-08 21:32:21,889] [INFO] GET /secciones -> 200
[2025-10-08 21:32:22,489] [INFO] GET / -> 200
[2025-10-08 21:32:22,617] [INFO] GET /secciones -> 200
[2025-10-08 21:32:22,889] [INFO] GET / -> 200
[2025-10-08 21:32:23,017] [INFO] GET /secciones -> 200
[2025-10-08 21:32:23,271] [INFO] GET / -> 200
[2025-10-08 21:32:23,398] [INFO] GET /secciones -> 200
[2025-10-08 21:32:23,587] [INFO] GET / -> 200
[2025-10-08 21:32:23,725] [INFO] GET /secciones -> 200
[2025-10-08 21:32:23,920] [INFO] GET / -> 200
[2025-10-08 21:32:24,051] [INFO] GET /secciones -> 200
[2025-10-08 21:32:24,268] [INFO] GET / -> 200
[2025-10-08 21:32:24,397] [INFO] GET /secciones -> 200
[2025-10-08 21:32:24,608] [INFO] GET / -> 200
[2025-10-08 21:32:24,738] [INFO] GET /secciones -> 200
[2025-10-08 21:32:24,944] [INFO] GET / -> 200
[2025-10-08 21:32:25,072] [INFO] GET /secciones -> 200
[2025-10-08 21:32:46,097] [INFO] GET / -> 200
[2025-10-08 21:33:10,504] [INFO] GET / -> 200
[2025-10-08 21:33:26,358] [INFO] GET / -> 200
[2025-10-08 21:33:26,497] [INFO] GET /secciones -> 200
[2025-10-08 21:33:27,267] [INFO] GET / -> 200
[2025-10-08 21:33:27,395] [INFO] GET /secciones -> 200
[2025-10-08 21:33:40,260] [INFO] GET / -> 200
[2025-10-08 21:33:47,677] [INFO] GET / -> 200
[2025-10-08 21:33:50,475] [INFO] GET / -> 200
[2025-10-08 21:36:08,876] [INFO] GET / -> 200
[2025-10-08 21:36:08,888] [INFO] GET /static/style.css -> 200
[2025-10-08 21:36:08,892] [INFO] GET /static/logo.png -> 200
[2025-10-08 21:36:08,897] [INFO] GET /static/app.js -> 200
[2025-10-08 21:36:08,957] [INFO] GET /secciones -> 200
[2025-10-08 21:36:09,134] [INFO] GET /static/favicon.ico -> 404
[2025-10-08 21:38:48,405] [INFO] GET / -> 200
[2025-10-08 21:38:48,442] [INFO] GET /static/style.css -> 304
[2025-10-08 21:38:48,443] [INFO] GET /static/app.js -> 200
[2025-10-08 21:38:48,522] [INFO] GET /secciones -> 200
[2025-10-08 21:38:48,695] [INFO] GET /static/favicon.ico -> 404
[2025-10-08 21:39:05,007] [INFO] GET / -> 200
[2025-10-08 21:39:05,255] [INFO] GET /static/favicon.ico -> 404
[2025-10-08 21:39:22,205] [INFO] GET / -> 200
[2025-10-08 21:39:22,463] [INFO] GET /static/style.css -> 200
[2025-10-08 21:39:22,470] [INFO] GET /static/logo.png -> 200
[2025-10-08 21:39:22,471] [INFO] GET /static/app.js -> 200
[2025-10-08 21:39:22,896] [INFO] GET /secciones -> 200
[2025-10-08 21:39:23,109] [INFO] GET /static/favicon.ico -> 404
[2025-10-08 21:39:30,689] [INFO] GET / -> 200
[2025-10-08 21:39:30,912] [INFO] GET /static/favicon.ico -> 404
[2025-10-08 21:39:37,545] [INFO] GET /comandos -> 200
[2025-10-08 21:39:38,987] [INFO] GET /comandos -> 200
[2025-10-08 21:39:40,132] [INFO] GET /comandos -> 200
[2025-10-08 21:39:41,226] [INFO] GET /comandos -> 200
[2025-10-08 21:39:42,049] [INFO] GET /comandos -> 200
[2025-10-08 21:39:43,183] [INFO] GET /comandos -> 200
[2025-10-08 21:39:44,414] [INFO] GET /comandos -> 200
[2025-10-08 21:39:54,135] [INFO] GET / -> 200
[2025-10-08 21:39:54,404] [INFO] GET /static/style.css -> 200
[2025-10-08 21:39:54,407] [INFO] GET /static/logo.png -> 200
[2025-10-08 21:39:54,408] [INFO] GET /static/app.js -> 200
[2025-10-08 21:39:54,858] [INFO] GET /secciones -> 200
[2025-10-08 21:39:55,134] [INFO] GET /static/favicon.ico -> 404
[2025-10-08 21:40:39,637] [INFO] GET /comandos -> 200
[2025-10-08 21:40:40,503] [INFO] GET /comandos -> 200
[2025-10-08 21:40:41,169] [INFO] GET /comandos -> 200
[2025-10-08 21:40:42,092] [INFO] GET /comandos -> 200
[2025-10-08 21:40:53,942] [INFO] GET /comandos -> 200
[2025-10-08 21:42:44,483] [INFO] GET /comandos -> 200
[2025-10-08 21:42:56,314] [INFO] Connecting to 149.154.175.59:443/TcpFull...
[2025-10-08 21:42:56,393] [INFO] Connection to 149.154.175.59:443/TcpFull complete!
[2025-10-08 21:43:00,256] [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
[2025-10-08 21:43:00,432] [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
[2025-10-08 21:43:02,067] [INFO] GET / -> 200
[2025-10-08 21:43:02,762] [INFO] GET /static/app.js -> 304
[2025-10-08 21:43:03,146] [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
[2025-10-08 21:43:03,149] [INFO] GET /secciones -> 200
[2025-10-08 21:43:04,600] [INFO] GET /comandos -> 200
[2025-10-08 21:43:05,362] [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
[2025-10-08 21:43:07,910] [INFO] GET /consulta -> 200
[2025-10-08 21:43:08,211] [INFO] GET /temp_files/respuestas.json -> 200
[2025-10-08 21:43:59,779] [INFO] GET /descargar/respuesta_1759977780_0.jpg -> 404
[2025-10-08 21:44:34,090] [INFO] GET / -> 200
[2025-10-08 21:44:34,316] [INFO] GET /static/app.js -> 304
